,month,cow_id,iso_alpha3,gw_id,country,FEATUREID,border_change
107497,1961-02-01,345,YUG,345,Yugoslavia,191,0.0
107498,1961-03-01,345,YUG,345,Yugoslavia,191,0.0
107499,1961-04-01,345,YUG,345,Yugoslavia,191,0.0
107500,1961-05-01,345,YUG,345,Yugoslavia,191,0.0
107501,1961-06-01,345,YUG,345,Yugoslavia,191,0.0
107502,1961-07-01,345,YUG,345,Yugoslavia,191,0.0
107503,1961-08-01,345,YUG,345,Yugoslavia,191,0.0
107504,1961-09-01,345,YUG,345,Yugoslavia,191,0.0
107505,1961-10-01,345,YUG,345,Yugoslavia,191,0.0
107506,1961-11-01,345,YUG,345,Yugoslavia,191,0.0
107507,1961-12-01,345,YUG,345,Yugoslavia,191,0.0
107508,1962-01-01,345,YUG,345,Yugoslavia,191,0.0
107509,1962-02-01,345,YUG,345,Yugoslavia,191,0.0
107510,1962-03-01,345,YUG,345,Yugoslavia,191,0.0
107511,1962-04-01,345,YUG,345,Yugoslavia,191,0.0
107512,1962-05-01,345,YUG,345,Yugoslavia,191,0.0
107513,1962-06-01,345,YUG,345,Yugoslavia,191,0.0
107514,1962-07-01,345,YUG,345,Yugoslavia,191,0.0
107515,1962-08-01,345,YUG,345,Yugoslavia,191,0.0
107516,1962-09-01,345,YUG,345,Yugoslavia,191,0.0
107517,1962-10-01,345,YUG,345,Yugoslavia,191,0.0
107518,1962-11-01,345,YUG,345,Yugoslavia,191,0.0
107519,1962-12-01,345,YUG,345,Yugoslavia,191,0.0
107520,1963-01-01,345,YUG,345,Yugoslavia,191,0.0
107521,1963-02-01,345,YUG,345,Yugoslavia,191,0.0
107522,1963-03-01,345,YUG,345,Yugoslavia,191,0.0
107523,1963-04-01,345,YUG,345,Yugoslavia,191,0.0
107524,1963-05-01,345,YUG,345,Yugoslavia,191,0.0
107525,1963-06-01,345,YUG,345,Yugoslavia,191,0.0
107526,1963-07-01,345,YUG,345,Yugoslavia,191,0.0
107527,1963-08-01,345,YUG,345,Yugoslavia,191,0.0
107528,1963-09-01,345,YUG,345,Yugoslavia,191,0.0
107529,1963-10-01,345,YUG,345,Yugoslavia,191,0.0
107530,1963-11-01,345,YUG,345,Yugoslavia,191,0.0
107531,1963-12-01,345,YUG,345,Yugoslavia,191,0.0
107532,1964-01-01,345,YUG,345,Yugoslavia,191,0.0
107533,1964-02-01,345,YUG,345,Yugoslavia,191,0.0
107534,1964-03-01,345,YUG,345,Yugoslavia,191,0.0
107535,1964-04-01,345,YUG,345,Yugoslavia,191,0.0
107536,1964-05-01,345,YUG,345,Yugoslavia,191,0.0
107537,1964-06-01,345,YUG,345,Yugoslavia,191,0.0
107538,1964-07-01,345,YUG,345,Yugoslavia,191,0.0
107539,1964-08-01,345,YUG,345,Yugoslavia,191,0.0
107540,1964-09-01,345,YUG,345,Yugoslavia,191,0.0
107541,1964-10-01,345,YUG,345,Yugoslavia,191,0.0
107542,1964-11-01,345,YUG,345,Yugoslavia,191,0.0
107543,1964-12-01,345,YUG,345,Yugoslavia,191,0.0
107544,1965-01-01,345,YUG,345,Yugoslavia,191,0.0
107545,1965-02-01,345,YUG,345,Yugoslavia,191,0.0
107546,1965-03-01,345,YUG,345,Yugoslavia,191,0.0
107547,1965-04-01,345,YUG,345,Yugoslavia,191,0.0
107548,1965-05-01,345,YUG,345,Yugoslavia,191,0.0
107549,1965-06-01,345,YUG,345,Yugoslavia,191,0.0
107550,1965-07-01,345,YUG,345,Yugoslavia,191,0.0
107551,1965-08-01,345,YUG,345,Yugoslavia,191,0.0
107552,1965-09-01,345,YUG,345,Yugoslavia,191,0.0
107553,1965-10-01,345,YUG,345,Yugoslavia,191,0.0
107554,1965-11-01,345,YUG,345,Yugoslavia,191,0.0
107555,1965-12-01,345,YUG,345,Yugoslavia,191,0.0
107556,1966-01-01,345,YUG,345,Yugoslavia,191,0.0
107557,1966-02-01,345,YUG,345,Yugoslavia,191,0.0
107558,1966-03-01,345,YUG,345,Yugoslavia,191,0.0
107559,1966-04-01,345,YUG,345,Yugoslavia,191,0.0
107560,1966-05-01,345,YUG,345,Yugoslavia,191,0.0
107561,1966-06-01,345,YUG,345,Yugoslavia,191,0.0
107562,1966-07-01,345,YUG,345,Yugoslavia,191,0.0
107563,1966-08-01,345,YUG,345,Yugoslavia,191,0.0
107564,1966-09-01,345,YUG,345,Yugoslavia,191,0.0
107565,1966-10-01,345,YUG,345,Yugoslavia,191,0.0
107566,1966-11-01,345,YUG,345,Yugoslavia,191,0.0
107567,1966-12-01,345,YUG,345,Yugoslavia,191,0.0
107568,1967-01-01,345,YUG,345,Yugoslavia,191,0.0
107569,1967-02-01,345,YUG,345,Yugoslavia,191,0.0
107570,1967-03-01,345,YUG,345,Yugoslavia,191,0.0
107571,1967-04-01,345,YUG,345,Yugoslavia,191,0.0
107572,1967-05-01,345,YUG,345,Yugoslavia,191,0.0
107573,1967-06-01,345,YUG,345,Yugoslavia,191,0.0
107574,1967-07-01,345,YUG,345,Yugoslavia,191,0.0
107575,1967-08-01,345,YUG,345,Yugoslavia,191,0.0
107576,1967-09-01,345,YUG,345,Yugoslavia,191,0.0
107577,1967-10-01,345,YUG,345,Yugoslavia,191,0.0
107578,1967-11-01,345,YUG,345,Yugoslavia,191,0.0
107579,1967-12-01,345,YUG,345,Yugoslavia,191,0.0
107580,1968-01-01,345,YUG,345,Yugoslavia,191,0.0
107581,1968-02-01,345,YUG,345,Yugoslavia,191,0.0
107582,1968-03-01,345,YUG,345,Yugoslavia,191,0.0
107583,1968-04-01,345,YUG,345,Yugoslavia,191,0.0
107584,1968-05-01,345,YUG,345,Yugoslavia,191,0.0
107585,1968-06-01,345,YUG,345,Yugoslavia,191,0.0
107586,1968-07-01,345,YUG,345,Yugoslavia,191,0.0
107587,1968-08-01,345,YUG,345,Yugoslavia,191,0.0
107588,1968-09-01,345,YUG,345,Yugoslavia,191,0.0
107589,1968-10-01,345,YUG,345,Yugoslavia,191,0.0
107590,1968-11-01,345,YUG,345,Yugoslavia,191,0.0
107591,1968-12-01,345,YUG,345,Yugoslavia,191,0.0
107592,1969-01-01,345,YUG,345,Yugoslavia,191,0.0
107593,1969-02-01,345,YUG,345,Yugoslavia,191,0.0
107594,1969-03-01,345,YUG,345,Yugoslavia,191,0.0
107595,1969-04-01,345,YUG,345,Yugoslavia,191,0.0
107596,1969-05-01,345,YUG,345,Yugoslavia,191,0.0
107597,1969-06-01,345,YUG,345,Yugoslavia,191,0.0
107598,1969-07-01,345,YUG,345,Yugoslavia,191,0.0
107599,1969-08-01,345,YUG,345,Yugoslavia,191,0.0
107600,1969-09-01,345,YUG,345,Yugoslavia,191,0.0
107601,1969-10-01,345,YUG,345,Yugoslavia,191,0.0
107602,1969-11-01,345,YUG,345,Yugoslavia,191,0.0
107603,1969-12-01,345,YUG,345,Yugoslavia,191,0.0
107604,1970-01-01,345,YUG,345,Yugoslavia,191,0.0
107605,1970-02-01,345,YUG,345,Yugoslavia,191,0.0
107606,1970-03-01,345,YUG,345,Yugoslavia,191,0.0
107607,1970-04-01,345,YUG,345,Yugoslavia,191,0.0
107608,1970-05-01,345,YUG,345,Yugoslavia,191,0.0
107609,1970-06-01,345,YUG,345,Yugoslavia,191,0.0
107610,1970-07-01,345,YUG,345,Yugoslavia,191,0.0
107611,1970-08-01,345,YUG,345,Yugoslavia,191,0.0
107612,1970-09-01,345,YUG,345,Yugoslavia,191,0.0
107613,1970-10-01,345,YUG,345,Yugoslavia,191,0.0
107614,1970-11-01,345,YUG,345,Yugoslavia,191,0.0
